Game ID	Game Duration	Winning Team	Summoner 0 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 1 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 2 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 3 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 4 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 5 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 6 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 7 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 8 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 9 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists
3527220087	1855	100	BOB YAAA	100	Amumu	JUNGLE	WIN	5	7	7	MQ2000	100	Blitzcrank	SUPPORT	WIN	1	7	17	Sceptalgic	100	Jax	JUNGLE	WIN	10	4	5	Threepointstar	100	Vladimir	MID	WIN	4	2	5	Delmar	100	Lucian	ADC	WIN	14	0	7	CondemmedChicken	200	Yone	TOP	LOSE	1	12	1	Kliyle	200	Jhin	ADC	LOSE	7	7	5	G2000mime	200	Volibear	JUNGLE	LOSE	4	5	7	Yeliang	200	Ahri	MID	LOSE	4	3	6	YummyRicez	200	Morgana	SUPPORT	LOSE	4	7	8
3527220511	987	200	CondemmedChicken	100	Yone	SUPPORT	LOSE	1	7	0	Kliyle	100	Jhin	TOP	LOSE	1	2	0	Threepointstar	100	Xerath	SUPPORT	LOSE	0	3	1	Delmar	100	Lillia	SUPPORT	LOSE	0	2	0	Sceptalgic	100	Zac	SUPPORT	LOSE	0	2	1	G2000mime	200	Ashe	SUPPORT	WIN	0	1	4	Demonclaw	200	Veigar	SUPPORT	WIN	5	1	4	BOB YAAA	200	Nautilus	SUPPORT	WIN	3	0	3	YummyRicez	200	Kayn	SUPPORT	WIN	6	0	5	MQ2000	200	Fiora	SUPPORT	WIN	2	0	2
3527021051	1373	100	Delmar	100	Yone	MID	WIN	9	4	2	Sceptalgic	100	Elise	JUNGLE	WIN	5	2	4	Aeternalis1	100	Ezreal	ADC	WIN	12	3	4	MQ2000	100	Blitzcrank	SUPPORT	WIN	1	2	12	Threepointstar	100	Nasus	TOP	WIN	4	4	5	CondemmedChicken	200	Azir	MID	LOSE	4	6	2	G2000mime	200	Brand	JUNGLE	LOSE	3	8	2	Kliyle	200	Caitlyn	ADC	LOSE	2	6	3	Demonclaw	200	Karma	SUPPORT	LOSE	3	4	5	BOB YAAA	200	Malphite	TOP	LOSE	3	7	6
3529531682	1142	100	Aeternalis1	100	Poppy	SUPPORT	WIN	5	1	5	Sceptalgic	100	Jax	SUPPORT	WIN	4	0	2	MQ2000	100	Viktor	SUPPORT	WIN	1	2	2	YummyRicez	100	Kayn	SUPPORT	WIN	4	1	3	Threepointstar	100	Ornn	SUPPORT	WIN	5	1	3	DukeCapone	200	Elise	SUPPORT	LOSE	2	4	3	CondemmedChicken	200	Malphite	SUPPORT	LOSE	0	4	2	Kliyle	200	Caitlyn	SUPPORT	LOSE	1	5	2	G2000mime	200	Senna	SUPPORT	LOSE	2	5	2	Delmar	200	Galio	SUPPORT	LOSE	0	1	4
3498189848	2088	100	DukeCapone	100	LeeSin	JUNGLE	WIN	1	4	6	Threepointstar	100	Kassadin	MID	WIN	7	1	2	Aeternalis1	100	Xerath	SUPPORT	WIN	2	4	6	Kliyle	100	Jhin	ADC	WIN	5	4	6	Sceptalgic	100	Aatrox	TOP	WIN	4	3	6	CondemmedChicken	200	Azir	MID	LOSE	5	3	5	G2000mime	200	Lissandra	JUNGLE	LOSE	2	3	6	MQ2000	200	Garen	TOP	LOSE	5	3	4	Delmar	200	Leona	SUPPORT	LOSE	0	4	13	Yeliang	200	Kled	ADC	LOSE	4	6	8
3498190247	2164	100	G2000mime	100	Ashe	TOP	WIN	9	3	9	Kliyle	100	Ekko	JUNGLE	WIN	10	5	12	Threepointstar	100	Yasuo	TOP	WIN	11	4	9	Yeliang	100	Bard	MID	WIN	2	8	15	Sceptalgic	100	Orianna	TOP	WIN	6	2	11	BOB YAAA	200	Draven	ADC	LOSE	2	8	6	CondemmedChicken	200	Teemo	TOP	LOSE	3	10	4	DukeCapone	200	Sett	JUNGLE	LOSE	1	10	6	Aeternalis1	200	Blitzcrank	SUPPORT	LOSE	2	6	6	Delmar	200	KogMaw	MID	LOSE	14	4	2
3478761790	1776	100	DukeCapone	100	Graves	JUNGLE	WIN	3	2	14	YummyRicez	100	Jinx	TOP	WIN	7	5	8	Delmar	100	Volibear	JUNGLE	WIN	5	2	8	Sceptalgic	100	Lissandra	ADC	WIN	13	1	7	Yeliang	100	Bard	SUPPORT	WIN	2	5	16	G2000mime	200	Ezreal	ADC	LOSE	3	5	4	CondemmedChicken	200	Azir	MID	LOSE	2	7	4	Aeternalis1	200	Rakan	SUPPORT	LOSE	4	4	7	Threepointstar	200	Nasus	TOP	LOSE	2	6	3	MQ2000	200	Hecarim	JUNGLE	LOSE	4	8	4
3478892050	2400	200	DukeCapone	100	Tristana	ADC	LOSE	2	7	6	YummyRicez	100	Khazix	JUNGLE	LOSE	3	5	10	Sceptalgic	100	Lissandra	MID	LOSE	7	2	4	G2000mime	100	Blitzcrank	SUPPORT	LOSE	1	9	9	MQ2000	100	Garen	TOP	LOSE	10	6	2	CondemmedChicken	200	Teemo	TOP	WIN	3	6	10	Yeliang	200	Rammus	ADC	WIN	1	6	18	Delmar	200	KogMaw	JUNGLE	WIN	13	5	6	Threepointstar	200	Taric	SUPPORT	WIN	5	2	19	Aeternalis1	200	Ziggs	MID	WIN	7	4	8
3456543039	1793	100	BOB YAAA	100	Amumu	ADC	WIN	3	3	23	Threepointstar	100	Galio	SUPPORT	WIN	11	3	16	Aeternalis1	100	Zac	JUNGLE	WIN	6	3	16	G2000mime	100	Qiyana	MID	WIN	4	6	15	MQ2000	100	Tryndamere	TOP	WIN	8	3	11	CondemmedChicken	200	Garen	TOP	LOSE	2	6	1	Yeliang	200	Katarina	MID	LOSE	9	4	4	YummyRicez	200	Morgana	SUPPORT	LOSE	1	10	9	DukeCapone	200	Ezreal	ADC	LOSE	1	9	2	Sceptalgic	200	MonkeyKing	JUNGLE	LOSE	5	3	5
3458762759	1586	200	Kliyle	100	Kindred	JUNGLE	LOSE	7	5	5	CondemmedChicken	100	Garen	TOP	LOSE	2	5	2	Threepointstar	100	Galio	SUPPORT	LOSE	4	4	4	Yeliang	100	Malphite	ADC	LOSE	1	6	5	MQ2000	100	Zoe	MID	LOSE	1	5	10	Aeternalis1	200	Ahri	SUPPORT	WIN	2	3	9	Demonclaw	200	Caitlyn	ADC	WIN	13	4	3	YummyRicez	200	Amumu	JUNGLE	WIN	2	3	8	Delmar	200	Brand	MID	WIN	2	4	3	Sceptalgic	200	Jax	TOP	WIN	6	1	2
